401, 59.78
402, 59.64
403, 59.50
404, 59.36
405, 59.22
406, 59.08
407, 59.06
408, 58.92
409, 58.77
410, 58.62
411, 58.48
412, 58.45
413, 58.31
414, 58.16
415, 58.02
416, 57.98
417, 57.83
418, 57.69
419, 57.53
420, 57.50
421, 57.34
422, 57.19
423, 57.05
424, 57.00
425, 56.84
426, 56.69
427, 56.66
428, 56.50
429, 56.34
430, 56.31
431, 56.14
432, 56.11
433, 55.94
434, 55.78
435, 55.73
436, 55.58
437, 55.42
438, 55.38
439, 55.20
440, 55.16
441, 55.00
442, 54.95
443, 54.78
444, 54.73
445, 54.56
446, 54.52
447, 54.34
448, 54.28
449, 54.11
450, 54.06
451, 53.89
452, 53.83
453, 53.66
454, 53.61
455, 53.42
456, 53.38
457, 53.19
458, 53.14
459, 52.95
460, 52.89
461, 52.83
462, 52.66
463, 52.59
464, 52.53
465, 52.34
466, 52.28
467, 52.09
468, 52.03
469, 51.95
470, 51.77
471, 51.70
472, 51.62
473, 51.44
474, 51.38
475, 51.30
476, 51.22
477, 51.03
478, 50.95
479, 50.89
480, 50.81
481, 50.61
482, 50.53
483, 50.45
484, 50.38
485, 50.17
486, 50.09
487, 50.02
488, 49.94
489, 49.86
490, 49.66
491, 49.56
492, 49.48
493, 49.39
494, 49.31
495, 49.22
496, 49.12
497, 48.92
498, 48.83
499, 48.75
500, 48.66
501, 48.56
502, 48.47
503, 48.38
504, 48.28
505, 48.19
506, 48.08
507, 47.98
508, 47.89
509, 47.80
510, 47.69
511, 47.59
512, 47.48
513, 47.39
514, 47.28
515, 47.17
516, 47.08
517, 46.97
518, 46.86
519, 46.75
520, 46.64
521, 46.53
522, 46.42
523, 46.31
524, 46.20
525, 46.09
526, 45.98
527, 45.86
528, 45.88
529, 45.75
530, 45.64
531, 45.52
532, 45.41
533, 45.28
534, 45.17
535, 45.16
536, 45.05
537, 44.92
538, 44.80
539, 44.67
540, 44.67
541, 44.53
542, 44.41
543, 44.28
544, 44.28
545, 44.14
546, 44.02
547, 43.89
548, 43.88
549, 43.73
550, 43.61
551, 43.47
552, 43.45
553, 43.31
554, 43.17
555, 43.16
556, 43.02
557, 42.88
558, 42.86
559, 42.72
560, 42.69
561, 42.55
562, 42.41
563, 42.38
564, 42.23
565, 42.08
566, 42.06
567, 41.91
568, 41.88
569, 41.72
570, 41.69
571, 41.53
572, 41.50
573, 41.34
574, 41.31
575, 41.16
576, 41.11
577, 40.95
578, 40.92
579, 40.77
580, 40.72
581, 40.55
582, 40.52
583, 40.34
584, 40.30
585, 40.14
586, 40.09
587, 39.92
588, 39.88
589, 39.81
590, 39.64
591, 39.59
592, 39.55
593, 39.38
594, 39.31
595, 39.14
596, 39.08
597, 39.02
598, 38.84
599, 38.78
600, 38.72
601, 38.55
602, 38.48
603, 38.42
604, 38.34
605, 38.17
606, 38.09
607, 38.03
608, 37.95
609, 37.77
610, 37.70
611, 37.62
612, 37.56
613, 37.36
614, 37.30
615, 37.22
616, 37.14
617, 37.06
618, 36.86
619, 36.78
620, 36.70
621, 36.62
622, 36.53
623, 36.45
624, 36.36
625, 36.16
626, 36.08
627, 35.98
628, 35.91
629, 35.81
630, 35.72
631, 35.62
632, 35.53
633, 35.44
634, 35.34
635, 35.25
636, 35.16
637, 35.06
638, 34.95
639, 34.86
640, 34.75
641, 34.66
642, 34.55
643, 34.45
644, 34.34
645, 34.23
646, 34.12
647, 34.02
648, 33.91
649, 33.80
650, 33.69
651, 33.58
652, 33.47
653, 33.34
654, 33.23
655, 33.11
656, 33.11
657, 33.00
658, 32.88
659, 32.77
660, 32.64
661, 32.52
662, 32.39
663, 32.38
664, 32.25
665, 32.12
666, 32.00
667, 31.88
668, 31.86
669, 31.73
670, 31.59
671, 31.47
672, 31.45
673, 31.31
674, 31.17
675, 31.03
676, 31.02
677, 30.88
678, 30.73
679, 30.59
680, 30.56
681, 30.42
682, 30.28
683, 30.25
684, 30.09
685, 29.95
686, 29.92
687, 29.77
688, 29.73
689, 29.58
690, 29.42
691, 29.39
692, 29.23
693, 29.08
694, 29.03
695, 28.88
696, 28.83
697, 28.67
698, 28.62
699, 28.47
700, 28.42
701, 28.25
702, 28.20
703, 28.03
704, 27.98
705, 27.81
706, 27.75
707, 27.58
708, 27.53
709, 27.36
